[single] A1a send while idle	claude-sdk	PASS three idle sends each replied with their own needle; the required last send answered	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes 3/3 delivered, 3 user and 3 assistant needles landed	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:33:21 CEST	POD-3047
[single] A1b send while busy	claude-sdk	PARTIAL the message was NOT lost -- it came back after a reload with position 1 -- but sent while the session was PROVABLY working (phase sampled at the send, not merely before it) the product answered queued=false disposition=delivered, a disposition contradicting both the position it carries and the running turn it entered. Clauses: busyAtSend=true position=1 answeredAfterReload=true queuedFlag=FALSE	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes the first turn was in flight and the phase was re-sampled at the moment of the second send	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:40:30 CEST	POD-3047
[single] A1c send to a dead session	claude-sdk	BLOCKED structurally undriveable: the SDK spawns claude-sdk-host per TURN, so between turns there is no persistent agent process to kill. Killing anything else tests a bystander, which an earlier revision of this probe did (it matched `claude auth status` and reported a vacuous PASS)	ad02520c22a9cba42db7fc1dd8c44620f29f4509	no control REFUSED: no claude-sdk-host child exists between turns	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:36:47 CEST	POD-3047
[single] A2a status while working	claude-sdk	PASS working appeared at 26ms, stayed working with ZERO flicker-idle across the whole sample, and returned idle after the turn CLOSED (waited, not sampled instantaneously -- the criterion says idle AFTER end)	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes send delivered, user needle landed, assistant answered	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:38:01 CEST	POD-3047
[single] A2b status at boot	claude-sdk	PASS a fresh session reported phase idle at boot, not working and not blank	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes sessions.create returned a row, viewer attached, driverId bound to claude-sdk	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:36:44 CEST	POD-3047
[single] A3 interrupt mid-turn (POD-3043 repair; the live arm POD-3043 was forbidden to run)	claude-sdk	PASS every clause. Turn stopped after sessions.interrupt; EXACTLY ONE durable record id claude-sdk-interrupt-<sid>-1 role system reading "Turn interrupted by the operator." -- the wording used ONLY when the provider confirmed; still present in a viewer opened after the first was dropped, which is the clause POD-3043 recorded as PROVEN PRODUCED NOT PROVEN SURVIVING; two further presses on the idle session left exactly one "Interrupt refused: no turn was in flight." receipt with the stop record untouched. Provider-refusal clause not exercised live. sessions.read is now POPULATED at this pin, so the record is visible on both planes	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes turn observed in flight, zero pre-existing stop records; NEGATIVE control A3NEG fired separately	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:34:50 CEST	POD-3047
[single] A3 negative control -- the confirmed wording must be capable of not appearing	claude-sdk	PASS SIGSTOP on claude-sdk-host makes the ack undeliverable through the 5s deadline rather than the close handler. Same code path, opposite sentence: "the model host did not confirm the interrupt before the turn ended.", exactly one record. Without this arm A3 wording clause cannot fail	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes exactly one claude-sdk-host child found and frozen; all frozen pids continued on exit	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:35:06 CEST	POD-3047
[single] A4a permission ask	claude-sdk	BLOCKED no PERMISSION-kind interaction in 45s and the guarded write happened anyway (marker outside the session cwd). Default SDK permission mode is auto and sessions.create exposes no way to force an asking posture. NOT a pass. Scored on interaction KIND after an earlier revision counted a login prompt as the ask and produced a false PASS	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes session live and attached; marker measured on disk; non-permission open kinds counted and reported	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:41:05 CEST	POD-3047
[single] A4b answer twice	claude-sdk	BLOCKED no permission ask exists to answer twice, and the guarded write landed regardless. NOT a pass	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes session live and attached; marker present outside the session cwd	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:41:54 CEST	POD-3047
[single] A5 transcript	claude-sdk	PASS the Bash call appears as a tool item carrying toolName, toolInput and toolUseId, paired to a -result item carrying the file contents; reload history matches. sessions.read returns 5 items. This cell was FAIL earlier in this drive at pin 86d707d89 (POD-3050 fixed it) and its snapshot was re-settled after POD-3057 made the reader return early	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes the fixture marker came back in the assistant reply, obtainable only by reading the file	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:34:27 CEST	POD-3047
[single] A6a terminal attach and type	claude-sdk	BLOCKED n/a ON THIS DRIVER, PASS ON THE OTHER. clientTerminal is a field of ServerRuntimeSpec and claude declares server: unsupported (claude-code.ts:230), so there is no place in the TYPE to declare a stock client TUI -- absent by construction, not omission. claude-pty PASSED A6a on this same rig and pin	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes session bound to claude-sdk so applicability could be judged	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:42:42 CEST	POD-3047
[single] A6b chat-CLI switch both directions twice	claude-sdk	BLOCKED n/a ON THIS DRIVER. No CLI terminal exists on this path, so the CLI half cannot be met by construction. Same mechanism as A6a	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes session bound to claude-sdk so applicability could be judged	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:42:45 CEST	POD-3047
